entry,image_file,label_file,measure_idx,x1_px,y1_px,x2_px,y2_px,width_px,label_value_at_mid
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,0,2540.04,1218.48,2542.02,1218.48,1.979,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,1,2541.08,1234.20,2543.06,1234.20,1.979,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,2,2541.03,1268.45,2543.01,1268.45,1.979,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,3,2047.24,1209.12,2048.96,1209.03,1.720,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,4,2040.11,1239.79,2041.91,1239.61,1.812,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,5,2040.97,1258.08,2043.03,1258.00,2.064,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,6,2051.19,1187.13,2051.96,1189.11,2.122,1
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,7,2042.86,1284.97,2045.01,1284.45,2.209,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,8,3126.22,1163.59,3128.11,1163.59,1.890,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,9,3112.22,1187.90,3114.28,1189.28,2.478,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,10,3098.47,1217.19,3100.19,1218.05,1.921,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,11,3090.92,1250.52,3093.06,1250.78,2.163,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,12,3089.97,1268.90,3092.12,1268.99,2.150,2
ID14_0_Image,ID14_0_Image.png,ID14_0_Image.tif,13,3087.31,1293.90,3089.28,1294.67,2.122,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,0,438.98,162.80,446.68,162.93,7.698,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,1,429.98,304.91,435.89,305.18,5.916,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,2,423.04,377.96,428.74,376.72,5.837,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,3,474.85,420.63,479.52,416.30,6.370,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,4,469.83,410.25,473.13,408.54,3.720,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,5,471.76,505.02,474.10,507.08,3.117,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,6,457.95,531.20,459.80,533.61,3.037,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,7,453.00,556.35,455.54,556.15,2.550,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,8,422.97,587.55,423.31,590.58,3.043,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,9,332.02,586.87,332.86,589.89,3.134,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,10,306.35,604.32,309.20,603.98,2.872,1
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,11,1062.21,699.92,1071.91,697.04,10.119,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,12,1042.81,651.43,1052.51,650.12,9.787,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,13,1050.93,573.57,1060.63,574.36,9.732,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,14,1085.01,765.99,1094.45,764.94,9.495,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,15,1094.71,832.31,1103.89,826.80,10.700,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,16,1025.51,1120.40,1029.70,1126.96,7.782,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,17,1049.89,1085.01,1058.54,1089.47,9.730,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,18,1042.81,1265.63,1050.41,1264.58,7.674,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,19,1033.37,1207.70,1039.40,1204.55,6.800,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,20,1009.78,1138.49,1019.48,1138.75,9.703,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,21,1087.37,982.78,1099.43,983.30,12.070,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,22,1085.80,1034.16,1092.88,1031.80,7.461,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,23,1082.13,1045.43,1084.75,1053.03,8.041,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,24,1108.87,933.23,1118.83,937.69,10.913,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,25,1122.24,886.83,1131.15,891.29,9.965,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,26,1069.29,503.58,1077.67,508.56,9.756,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,27,1078.46,470.55,1087.63,471.60,9.235,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,28,1073.22,426.25,1079.25,431.49,7.990,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,29,1095.76,368.57,1102.84,370.93,7.461,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,30,1053.56,169.61,1062.47,169.34,8.917,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,31,1073.48,261.36,1081.34,257.16,8.913,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,32,1131.68,336.33,1131.68,333.97,2.360,3
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,33,1202.45,340.00,1202.19,337.90,2.113,1
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,34,1241.78,335.54,1241.78,333.97,1.573,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,35,1021.05,456.92,1020.00,455.34,1.891,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,36,1044.91,445.38,1044.91,443.29,2.097,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,37,990.38,456.13,991.95,454.03,2.622,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,38,1474.56,370.41,1477.97,369.88,3.448,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,39,1471.68,336.59,1474.82,335.81,3.243,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,40,1465.91,290.19,1469.06,290.19,3.146,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,41,1472.72,272.37,1474.56,274.20,2.595,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,42,1462.50,245.37,1465.38,243.27,3.566,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,43,1419.51,402.13,1418.98,398.72,3.448,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,44,1589.90,457.44,1593.31,456.13,3.651,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,45,1571.03,495.71,1574.17,497.29,3.517,1
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,46,1636.30,720.11,1639.71,719.06,3.566,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,47,1607.73,613.68,1611.40,611.32,4.363,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,48,1598.55,779.62,1598.29,774.37,5.250,2
ID14_144_Image,ID14_144_Image.png,ID14_144_Image.tif,49,1529.09,776.21,1528.30,770.18,6.080,2
